UF = 11 - Rondônia
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
2019;Total;2848;2019;1987;1960;1391;2178;2671;3644;14734;33432;2848;2019;1987;1960;1391;2178;2671;3644;14734;33432
;5ª Completo Fundamental;10;8;6;4;3;5;102;4;22;164;10;8;6;4;3;5;102;4;22;164
;6ª a 9ª Fundamental;17;11;11;18;7;26;27;36;54;207;17;11;11;18;7;26;27;36;54;207
;Analfabeto;4;1;2;3;2;0;2;3;4;21;4;1;2;3;2;0;2;3;4;21
;Até 5ª Incompleto;13;7;10;10;6;9;5;14;53;127;13;7;10;10;6;9;5;14;53;127
;Doutorado;0;0;0;0;1;0;0;3;4;8;0;0;0;0;1;0;0;3;4;8
;Fundamental Completo;57;65;33;35;16;57;130;138;281;812;57;65;33;35;16;57;130;138;281;812
;Mestrado;2;2;2;0;0;5;3;21;12;47;2;2;2;0;0;5;3;21;12;47
;Médio Completo;2243;1552;1499;1385;1059;1578;1855;2407;9521;23099;2243;1552;1499;1385;1059;1578;1855;2407;9521;23099
;Médio Incompleto;61;37;38;44;16;71;32;57;82;438;61;37;38;44;16;71;32;57;82;438
;Superior Completo;326;276;311;372;236;329;462;828;4331;7471;326;276;311;372;236;329;462;828;4331;7471
;Superior Incompleto;115;60;75;89;45;98;53;133;370;1038;115;60;75;89;45;98;53;133;370;1038
2020;Total;3017;2320;1949;2219;1541;2936;2510;3688;20989;41169;3017;2320;1949;2219;1541;2936;2510;3688;20989;41169
;5ª Completo Fundamental;11;7;7;6;2;12;1;4;34;84;11;7;7;6;2;12;1;4;34;84
;6ª a 9ª Fundamental;16;10;11;13;8;33;10;30;148;279;16;10;11;13;8;33;10;30;148;279
;Analfabeto;6;1;1;5;2;0;1;3;12;31;6;1;1;5;2;0;1;3;12;31
;Até 5ª Incompleto;10;12;11;8;5;14;2;11;59;132;10;12;11;8;5;14;2;11;59;132
;Doutorado;1;0;0;0;1;0;1;3;9;15;1;0;0;0;1;0;1;3;9;15
;Fundamental Completo;68;66;35;55;19;141;290;129;657;1460;68;66;35;55;19;141;290;129;657;1460
;Mestrado;1;2;1;0;0;6;4;22;72;108;1;2;1;0;0;6;4;22;72;108
;Médio Completo;2394;1813;1463;1587;1156;2106;1565;2423;12893;27400;2394;1813;1463;1587;1156;2106;1565;2423;12893;27400
;Médio Incompleto;66;30;43;34;29;73;26;54;116;471;66;30;43;34;29;73;26;54;116;471
;Superior Completo;345;304;274;427;277;441;470;893;6635;10066;345;304;274;427;277;441;470;893;6635;10066
;Superior Incompleto;99;75;103;84;42;110;140;116;354;1123;99;75;103;84;42;110;140;116;354;1123
2021;Total;3234;2733;2041;2794;1585;2711;4252;3347;21846;44543;3234;2733;2041;2794;1585;2711;4252;3347;21846;44543
;5ª Completo Fundamental;12;8;3;8;3;8;88;1;20;151;12;8;3;8;3;8;88;1;20;151
;6ª a 9ª Fundamental;15;10;12;12;11;23;22;27;117;249;15;10;12;12;11;23;22;27;117;249
;Analfabeto;4;3;5;3;2;1;3;0;6;27;4;3;5;3;2;1;3;0;6;27
;Até 5ª Incompleto;9;13;6;5;5;8;7;10;36;99;9;13;6;5;5;8;7;10;36;99
;Doutorado;2;1;0;0;0;0;2;2;10;17;2;1;0;0;0;0;2;2;10;17
;Fundamental Completo;60;54;46;54;20;58;225;63;485;1065;60;54;46;54;20;58;225;63;485;1065
;Mestrado;2;1;2;1;0;5;5;27;17;60;2;1;2;1;0;5;5;27;17;60
;Médio Completo;2582;2127;1510;2037;1129;1970;2817;2159;13202;29533;2582;2127;1510;2037;1129;1970;2817;2159;13202;29533
;Médio Incompleto;52;41;45;35;26;70;51;55;181;556;52;41;45;35;26;70;51;55;181;556
;Superior Completo;389;394;316;543;345;469;788;889;7463;11596;389;394;316;543;345;469;788;889;7463;11596
;Superior Incompleto;107;81;96;96;44;99;244;114;309;1190;107;81;96;96;44;99;244;114;309;1190
Total;Total;19086;14019;12492;14412;9877;17003;18657;26740;81403;213689;19086;14019;12492;14412;9877;17003;18657;26740;81403;213689
;5ª Completo Fundamental;83;66;41;45;30;69;447;52;91;924;83;66;41;45;30;69;447;52;91;924
;6ª a 9ª Fundamental;137;107;94;155;129;219;143;283;403;1670;137;107;94;155;129;219;143;283;403;1670
;Analfabeto;19;9;19;22;15;5;13;12;25;139;19;9;19;22;15;5;13;12;25;139
;Até 5ª Incompleto;75;53;66;43;57;140;54;125;171;784;75;53;66;43;57;140;54;125;171;784
;Doutorado;5;1;0;0;3;1;8;15;28;61;5;1;0;0;3;1;8;15;28;61
;Fundamental Completo;490;415;288;344;173;482;1022;1058;1731;6003;490;415;288;344;173;482;1022;1058;1731;6003
;Mestrado;13;12;13;6;5;22;15;102;111;299;13;12;13;6;5;22;15;102;111;299
;Médio Completo;15368;10868;9473;10386;7358;12292;12995;17801;50372;146913;15368;10868;9473;10386;7358;12292;12995;17801;50372;146913
;Médio Incompleto;411;270;281;301;212;494;275;464;519;3227;411;270;281;301;212;494;275;464;519;3227
;Superior Completo;1830;1805;1734;2605;1613;2620;3082;6013;26097;47399;1830;1805;1734;2605;1613;2620;3082;6013;26097;47399
;Superior Incompleto;655;413;483;505;282;659;603;815;1855;6270;655;413;483;505;282;659;603;815;1855;6270
UF = 22 - Piauí
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;1834;953;1130;1518;980;2402;2086;524;11373;22800;1834;953;1130;1518;980;2402;2086;524;11373;22800
;5ª Completo Fundamental;6;10;12;24;10;8;7;1;34;112;6;10;12;24;10;8;7;1;34;112
;6ª a 9ª Fundamental;23;16;17;39;20;36;44;9;39;243;23;16;17;39;20;36;44;9;39;243
;Analfabeto;2;2;2;2;1;4;0;0;1;14;2;2;2;2;1;4;0;0;1;14
;Até 5ª Incompleto;6;6;5;14;17;14;7;2;47;118;6;6;5;14;17;14;7;2;47;118
;Doutorado;0;0;0;0;0;1;0;0;2;3;0;0;0;0;0;1;0;0;2;3
;Fundamental Completo;74;55;60;85;56;75;83;13;560;1061;74;55;60;85;56;75;83;13;560;1061
;Mestrado;0;0;1;3;3;24;0;0;21;52;0;0;1;3;3;24;0;0;21;52
;Médio Completo;1443;645;737;894;638;1526;1479;414;6117;13893;1443;645;737;894;638;1526;1479;414;6117;13893
;Médio Incompleto;70;50;51;61;39;107;82;14;138;612;70;50;51;61;39;107;82;14;138;612
;Superior Completo;140;132;180;336;151;475;311;61;3790;5576;140;132;180;336;151;475;311;61;3790;5576
;Superior Incompleto;70;37;65;60;45;132;73;10;624;1116;70;37;65;60;45;132;73;10;624;1116
2016;Total;1907;1040;1124;1610;1114;2144;1320;1641;11174;23074;1907;1040;1124;1610;1114;2144;1320;1641;11174;23074
;5ª Completo Fundamental;7;10;7;27;7;12;1;4;35;110;7;10;7;27;7;12;1;4;35;110
;6ª a 9ª Fundamental;24;17;21;28;13;41;15;32;39;230;24;17;21;28;13;41;15;32;39;230
;Analfabeto;2;2;2;2;1;3;1;0;1;14;2;2;2;2;1;3;1;0;1;14
;Até 5ª Incompleto;9;6;3;12;11;14;3;3;43;104;9;6;3;12;11;14;3;3;43;104
;Doutorado;1;0;0;0;0;0;0;1;2;4;1;0;0;0;0;0;0;1;2;4
;Fundamental Completo;72;53;42;113;31;59;36;53;538;997;72;53;42;113;31;59;36;53;538;997
;Mestrado;0;0;1;0;4;13;3;1;18;40;0;0;1;0;4;13;3;1;18;40
;Médio Completo;1493;698;737;959;722;1462;861;1204;5912;14048;1493;698;737;959;722;1462;861;1204;5912;14048
;Médio Incompleto;66;55;48;59;35;105;43;55;136;602;66;55;48;59;35;105;43;55;136;602
;Superior Completo;152;156;203;353;224;318;300;225;3872;5803;152;156;203;353;224;318;300;225;3872;5803
;Superior Incompleto;81;43;60;57;66;117;57;63;578;1122;81;43;60;57;66;117;57;63;578;1122
2017;Total;2038;1154;1227;1781;1125;2312;1423;1658;11073;23791;2038;1154;1227;1781;1125;2312;1423;1658;11073;23791
;5ª Completo Fundamental;7;9;20;25;5;15;1;10;32;124;7;9;20;25;5;15;1;10;32;124
;6ª a 9ª Fundamental;24;23;29;28;13;44;14;30;37;242;24;23;29;28;13;44;14;30;37;242
;Analfabeto;2;2;3;3;1;6;0;1;1;19;2;2;3;3;1;6;0;1;1;19
;Até 5ª Incompleto;6;5;6;16;9;15;3;2;33;95;6;5;6;16;9;15;3;2;33;95
;Doutorado;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2
;Fundamental Completo;86;51;45;108;45;78;30;47;430;920;86;51;45;108;45;78;30;47;430;920
;Mestrado;0;0;1;7;3;4;11;1;18;45;0;0;1;7;3;4;11;1;18;45
;Médio Completo;1582;780;794;1058;704;1392;999;959;5930;14198;1582;780;794;1058;704;1392;999;959;5930;14198
;Médio Incompleto;73;50;54;51;47;107;43;49;128;602;73;50;54;51;47;107;43;49;128;602
;Superior Completo;176;179;212;412;227;479;268;337;3870;6160;176;179;212;412;227;479;268;337;3870;6160
;Superior Incompleto;82;55;63;73;71;172;54;222;592;1384;82;55;63;73;71;172;54;222;592;1384
2018;Total;2160;1318;1079;2006;1175;2191;2195;1242;9199;22565;2160;1318;1079;2006;1175;2191;2195;1242;9199;22565
;5ª Completo Fundamental;9;9;9;30;5;12;7;6;28;115;9;9;9;30;5;12;7;6;28;115
;6ª a 9ª Fundamental;22;18;20;39;25;39;28;9;36;236;22;18;20;39;25;39;28;9;36;236
;Analfabeto;0;3;1;2;3;3;2;0;1;15;0;3;1;2;3;3;2;0;1;15
;Até 5ª Incompleto;10;9;4;8;2;18;6;2;30;89;10;9;4;8;2;18;6;2;30;89
;Doutorado;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2
;Fundamental Completo;84;48;53;91;75;63;68;9;311;802;84;48;53;91;75;63;68;9;311;802
;Mestrado;3;2;2;16;6;9;47;0;18;103;3;2;2;16;6;9;47;0;18;103
;Médio Completo;1641;859;677;1139;717;1360;1366;722;5256;13737;1641;859;677;1139;717;1360;1366;722;5256;13737
;Médio Incompleto;72;52;49;55;56;114;86;55;120;659;72;52;49;55;56;114;86;55;120;659
;Superior Completo;228;240;216;523;243;399;453;260;2832;5394;228;240;216;523;243;399;453;260;2832;5394
;Superior Incompleto;91;78;48;103;43;174;132;179;565;1413;91;78;48;103;43;174;132;179;565;1413
2019;Total;2234;1405;1259;2137;1332;2221;1486;1905;10909;24888;2234;1405;1259;2137;1332;2221;1486;1905;10909;24888
;5ª Completo Fundamental;9;13;13;21;7;13;7;5;27;115;9;13;13;21;7;13;7;5;27;115
;6ª a 9ª Fundamental;19;18;24;28;27;41;26;13;36;232;19;18;24;28;27;41;26;13;36;232
;Analfabeto;3;2;3;3;5;4;0;3;1;24;3;2;3;3;5;4;0;3;1;24
;Até 5ª Incompleto;12;7;11;5;3;13;5;4;29;89;12;7;11;5;3;13;5;4;29;89
;Doutorado;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2
;Fundamental Completo;77;45;70;85;98;64;49;22;381;891;77;45;70;85;98;64;49;22;381;891
;Mestrado;4;3;1;10;6;11;1;1;17;54;4;3;1;10;6;11;1;1;17;54
;Médio Completo;1684;935;746;1246;803;1226;971;1168;5746;14525;1684;935;746;1246;803;1226;971;1168;5746;14525
;Médio Incompleto;58;70;51;60;50;134;73;77;118;691;58;70;51;60;50;134;73;77;118;691
;Superior Completo;258;247;273;558;273;503;267;411;3993;6783;258;247;273;558;273;503;267;411;3993;6783
;Superior Incompleto;110;65;67;121;60;212;87;201;559;1482;110;65;67;121;60;212;87;201;559;1482
2020;Total;2251;1458;1229;2075;1183;2316;1994;603;10934;24043;2251;1458;1229;2075;1183;2316;1994;603;10934;24043
;5ª Completo Fundamental;9;12;13;19;5;14;9;1;25;107;9;12;13;19;5;14;9;1;25;107
;6ª a 9ª Fundamental;15;16;19;22;19;43;29;5;34;202;15;16;19;22;19;43;29;5;34;202
;Analfabeto;5;1;3;2;2;2;2;0;1;18;5;1;3;2;2;2;2;0;1;18
;Até 5ª Incompleto;11;13;5;4;2;12;5;1;30;83;11;13;5;4;2;12;5;1;30;83
;Doutorado;0;0;0;0;0;0;1;0;2;3;0;0;0;0;0;0;1;0;2;3
;Fundamental Completo;78;47;56;89;95;57;51;6;428;907;78;47;56;89;95;57;51;6;428;907
;Mestrado;6;2;12;1;10;16;1;1;16;65;6;2;12;1;10;16;1;1;16;65
;Médio Completo;1663;964;759;1201;695;1301;1251;367;5808;14009;1663;964;759;1201;695;1301;1251;367;5808;14009
;Médio Incompleto;66;70;29;67;42;104;89;25;111;603;66;70;29;67;42;104;89;25;111;603
;Superior Completo;294;250;264;524;265;559;400;137;3936;6629;294;250;264;524;265;559;400;137;3936;6629
;Superior Incompleto;104;83;69;146;48;208;156;60;543;1417;104;83;69;146;48;208;156;60;543;1417
2021;Total;2400;1630;1465;1988;1262;2274;2364;1199;10861;25443;2400;1630;1465;1988;1262;2274;2364;1199;10861;25443
;5ª Completo Fundamental;4;11;12;20;5;13;9;1;24;99;4;11;12;20;5;13;9;1;24;99
;6ª a 9ª Fundamental;24;20;21;20;13;40;35;5;34;212;24;20;21;20;13;40;35;5;34;212
;Analfabeto;4;3;3;0;3;0;2;0;1;16;4;3;3;0;3;0;2;0;1;16
;Até 5ª Incompleto;11;10;8;5;2;13;9;3;28;89;11;10;8;5;2;13;9;3;28;89
;Doutorado;0;0;0;0;0;0;2;0;2;4;0;0;0;0;0;0;2;0;2;4
;Fundamental Completo;77;46;44;75;53;93;64;12;402;866;77;46;44;75;53;93;64;12;402;866
;Mestrado;4;5;3;12;9;20;8;2;18;81;4;5;3;12;9;20;8;2;18;81
;Médio Completo;1783;1099;891;1147;777;1246;1503;766;5724;14936;1783;1099;891;1147;777;1246;1503;766;5724;14936
;Médio Incompleto;70;59;49;61;43;106;94;39;100;621;70;59;49;61;43;106;94;39;100;621
;Superior Completo;319;279;348;505;298;562;461;270;3997;7039;319;279;348;505;298;562;461;270;3997;7039
;Superior Incompleto;104;98;86;143;59;181;177;101;531;1480;104;98;86;143;59;181;177;101;531;1480
Total;Total;14824;8958;8513;13115;8171;15860;12868;8772;75523;166604;14824;8958;8513;13115;8171;15860;12868;8772;75523;166604
;5ª Completo Fundamental;51;74;86;166;44;87;41;28;205;782;51;74;86;166;44;87;41;28;205;782
;6ª a 9ª Fundamental;151;128;151;204;130;284;191;103;255;1597;151;128;151;204;130;284;191;103;255;1597
;Analfabeto;18;15;17;14;16;22;7;4;7;120;18;15;17;14;16;22;7;4;7;120
;Até 5ª Incompleto;65;56;42;64;46;99;38;17;240;667;65;56;42;64;46;99;38;17;240;667
;Doutorado;1;0;0;0;0;1;3;1;14;20;1;0;0;0;0;1;3;1;14;20
;Fundamental Completo;548;345;370;646;453;489;381;162;3050;6444;548;345;370;646;453;489;381;162;3050;6444
;Mestrado;17;12;21;49;41;97;71;6;126;440;17;12;21;49;41;97;71;6;126;440
;Médio Completo;11289;5980;5341;7644;5056;9513;8430;5600;40493;99346;11289;5980;5341;7644;5056;9513;8430;5600;40493;99346
;Médio Incompleto;475;406;331;414;312;777;510;314;851;4390;475;406;331;414;312;777;510;314;851;4390
;Superior Completo;1567;1483;1696;3211;1681;3295;2460;1701;26290;43384;1567;1483;1696;3211;1681;3295;2460;1701;26290;43384
;Superior Incompleto;642;459;458;703;392;1196;736;836;3992;9414;642;459;458;703;392;1196;736;836;3992;9414
UF = 23 - Ceará
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;4677;2250;2093;3875;3827;7368;6369;7090;9274;46823;4677;2250;2093;3875;3827;7368;6369;7090;9274;46823
;5ª Completo Fundamental;29;22;18;18;25;50;68;17;64;311;29;22;18;18;25;50;68;17;64;311
;6ª a 9ª Fundamental;75;50;34;72;101;151;157;140;177;957;75;50;34;72;101;151;157;140;177;957
;Analfabeto;4;1;3;9;1;5;10;1;5;39;4;1;3;9;1;5;10;1;5;39
;Até 5ª Incompleto;26;12;8;33;24;71;33;29;70;306;26;12;8;33;24;71;33;29;70;306
;Doutorado;1;0;0;1;1;2;12;29;7;53;1;0;0;1;1;2;12;29;7;53
;Fundamental Completo;240;129;93;190;161;347;386;332;209;2087;240;129;93;190;161;347;386;332;209;2087
;Mestrado;0;2;2;10;2;15;44;66;14;155;0;2;2;10;2;15;44;66;14;155
;Médio Completo;3638;1596;1513;2624;2317;4046;3887;4560;6171;30352;3638;1596;1513;2624;2317;4046;3887;4560;6171;30352
;Médio Incompleto;154;83;58;148;125;225;198;231;128;1350;154;83;58;148;125;225;198;231;128;1350
;Superior Completo;324;262;261;596;899;2170;1375;1495;2082;9464;324;262;261;596;899;2170;1375;1495;2082;9464
;Superior Incompleto;186;93;103;174;171;286;199;190;347;1749;186;93;103;174;171;286;199;190;347;1749
2016;Total;5002;2336;2327;3958;3616;7836;6370;6228;10612;48285;5002;2336;2327;3958;3616;7836;6370;6228;10612;48285
;5ª Completo Fundamental;29;19;16;18;28;52;39;23;67;291;29;19;16;18;28;52;39;23;67;291
;6ª a 9ª Fundamental;62;45;29;67;101;123;137;132;186;882;62;45;29;67;101;123;137;132;186;882
;Analfabeto;6;3;4;10;3;4;9;3;4;46;6;3;4;10;3;4;9;3;4;46
;Até 5ª Incompleto;26;17;8;50;35;56;36;26;73;327;26;17;8;50;35;56;36;26;73;327
;Doutorado;1;0;0;1;2;1;12;34;9;60;1;0;0;1;2;1;12;34;9;60
;Fundamental Completo;242;98;93;163;166;336;379;263;255;1995;242;98;93;163;166;336;379;263;255;1995
;Mestrado;1;2;2;8;2;9;41;68;34;167;1;2;2;8;2;9;41;68;34;167
;Médio Completo;3949;1684;1681;2682;2254;4395;3901;3934;7065;31545;3949;1684;1681;2682;2254;4395;3901;3934;7065;31545
;Médio Incompleto;161;84;77;137;97;194;214;191;146;1301;161;84;77;137;97;194;214;191;146;1301
;Superior Completo;339;306;302;637;742;2365;1444;1373;2364;9872;339;306;302;637;742;2365;1444;1373;2364;9872
;Superior Incompleto;186;78;115;185;186;301;158;181;409;1799;186;78;115;185;186;301;158;181;409;1799
2017;Total;5196;2404;2330;4101;3922;7785;7321;6333;10868;50260;5196;2404;2330;4101;3922;7785;7321;6333;10868;50260
;5ª Completo Fundamental;27;15;19;11;24;43;43;24;74;280;27;15;19;11;24;43;43;24;74;280
;6ª a 9ª Fundamental;54;44;30;69;73;96;144;135;190;835;54;44;30;69;73;96;144;135;190;835
;Analfabeto;5;4;6;8;4;5;10;3;5;50;5;4;6;8;4;5;10;3;5;50
;Até 5ª Incompleto;28;14;11;24;40;37;51;27;72;304;28;14;11;24;40;37;51;27;72;304
;Doutorado;1;0;0;0;2;3;7;10;11;34;1;0;0;0;2;3;7;10;11;34
;Fundamental Completo;226;96;89;156;161;312;383;269;272;1964;226;96;89;156;161;312;383;269;272;1964
;Mestrado;1;5;6;8;8;21;60;79;128;316;1;5;6;8;8;21;60;79;128;316
;Médio Completo;4089;1759;1675;2841;2371;4280;4549;3998;7161;32723;4089;1759;1675;2841;2371;4280;4549;3998;7161;32723
;Médio Incompleto;155;66;69;127;106;185;225;202;124;1259;155;66;69;127;106;185;225;202;124;1259
;Superior Completo;405;313;333;649;954;2458;1623;1338;2418;10491;405;313;333;649;954;2458;1623;1338;2418;10491
;Superior Incompleto;205;88;92;208;179;345;226;248;413;2004;205;88;92;208;179;345;226;248;413;2004
2018;Total;5411;2769;2546;4465;4195;8137;6851;5356;16838;56568;5411;2769;2546;4465;4195;8137;6851;5356;16838;56568
;5ª Completo Fundamental;30;15;8;18;23;29;26;17;84;250;30;15;8;18;23;29;26;17;84;250
;6ª a 9ª Fundamental;56;40;29;62;66;98;126;72;353;902;56;40;29;62;66;98;126;72;353;902
;Analfabeto;3;3;3;9;4;3;6;3;8;42;3;3;3;9;4;3;6;3;8;42
;Até 5ª Incompleto;27;17;7;36;31;43;40;15;173;389;27;17;7;36;31;43;40;15;173;389
;Doutorado;0;0;1;0;3;1;10;11;36;62;0;0;1;0;3;1;10;11;36;62
;Fundamental Completo;223;107;87;162;136;202;312;179;450;1858;223;107;87;162;136;202;312;179;450;1858
;Mestrado;3;11;15;20;31;53;78;108;207;526;3;11;15;20;31;53;78;108;207;526
;Médio Completo;4238;1952;1827;3133;2599;4538;4426;3215;10347;36275;4238;1952;1827;3133;2599;4538;4426;3215;10347;36275
;Médio Incompleto;146;99;55;128;100;163;201;138;256;1286;146;99;55;128;100;163;201;138;256;1286
;Superior Completo;458;407;367;690;982;2689;1397;1346;4387;12723;458;407;367;690;982;2689;1397;1346;4387;12723
;Superior Incompleto;227;118;147;207;220;318;229;252;537;2255;227;118;147;207;220;318;229;252;537;2255
2019;Total;5590;3023;3012;5209;4271;7853;7875;6668;15854;59355;5590;3023;3012;5209;4271;7853;7875;6668;15854;59355
;5ª Completo Fundamental;25;13;12;18;24;28;36;18;23;197;25;13;12;18;24;28;36;18;23;197
;6ª a 9ª Fundamental;53;47;26;63;59;98;126;79;235;786;53;47;26;63;59;98;126;79;235;786
;Analfabeto;7;4;4;7;5;9;9;1;5;51;7;4;4;7;5;9;9;1;5;51
;Até 5ª Incompleto;33;20;7;17;37;34;49;22;130;349;33;20;7;17;37;34;49;22;130;349
;Doutorado;0;0;1;1;1;3;11;12;45;74;0;0;1;1;1;3;11;12;45;74
;Fundamental Completo;216;106;103;180;128;170;342;187;281;1713;216;106;103;180;128;170;342;187;281;1713
;Mestrado;4;11;7;15;21;30;103;84;265;540;4;11;7;15;21;30;103;84;265;540
;Médio Completo;4346;2121;2158;3565;2740;4322;4907;3937;9639;37735;4346;2121;2158;3565;2740;4322;4907;3937;9639;37735
;Médio Incompleto;128;85;77;132;72;154;187;162;201;1198;128;85;77;132;72;154;187;162;201;1198
;Superior Completo;529;473;442;950;983;2639;1844;1917;4554;14331;529;473;442;950;983;2639;1844;1917;4554;14331
;Superior Incompleto;249;143;175;261;201;366;261;249;476;2381;249;143;175;261;201;366;261;249;476;2381
2020;Total;5618;3088;3031;5045;5073;7981;7805;6623;19413;63677;5618;3088;3031;5045;5073;7981;7805;6623;19413;63677
;5ª Completo Fundamental;24;14;13;18;24;30;30;22;18;193;24;14;13;18;24;30;30;22;18;193
;6ª a 9ª Fundamental;50;43;28;62;53;90;102;88;218;734;50;43;28;62;53;90;102;88;218;734
;Analfabeto;6;4;4;5;11;7;8;2;7;54;6;4;4;5;11;7;8;2;7;54
;Até 5ª Incompleto;31;14;11;26;27;29;42;27;119;326;31;14;11;26;27;29;42;27;119;326
;Doutorado;1;0;4;2;2;2;20;36;49;116;1;0;4;2;2;2;20;36;49;116
;Fundamental Completo;215;108;107;171;121;154;326;211;265;1678;215;108;107;171;121;154;326;211;265;1678
;Mestrado;7;5;21;13;31;31;167;122;335;732;7;5;21;13;31;31;167;122;335;732
;Médio Completo;4323;2194;2101;3348;3209;4402;4854;4008;11575;40014;4323;2194;2101;3348;3209;4402;4854;4008;11575;40014
;Médio Incompleto;142;69;74;123;81;144;170;178;201;1182;142;69;74;123;81;144;170;178;201;1182
;Superior Completo;572;497;493;1020;1267;2784;1848;1662;6083;16226;572;497;493;1020;1267;2784;1848;1662;6083;16226
;Superior Incompleto;247;140;175;257;247;308;238;267;543;2422;247;140;175;257;247;308;238;267;543;2422
2021;Total;6293;3661;3092;5120;4533;8972;8423;8244;21446;69784;6293;3661;3092;5120;4533;8972;8423;8244;21446;69784
;5ª Completo Fundamental;33;14;11;14;22;21;39;20;39;213;33;14;11;14;22;21;39;20;39;213
;6ª a 9ª Fundamental;45;48;34;56;34;74;106;102;276;775;45;48;34;56;34;74;106;102;276;775
;Analfabeto;3;8;4;5;6;11;13;3;12;65;3;8;4;5;6;11;13;3;12;65
;Até 5ª Incompleto;27;22;11;14;26;25;61;26;137;349;27;22;11;14;26;25;61;26;137;349
;Doutorado;1;0;0;5;5;3;19;47;51;131;1;0;0;5;5;3;19;47;51;131
;Fundamental Completo;219;121;97;159;87;154;326;230;363;1756;219;121;97;159;87;154;326;230;363;1756
;Mestrado;11;11;7;28;34;33;192;196;367;879;11;11;7;28;34;33;192;196;367;879
;Médio Completo;4801;2622;2112;3479;2849;4922;5010;4945;12882;43622;4801;2622;2112;3479;2849;4922;5010;4945;12882;43622
;Médio Incompleto;147;85;75;115;72;144;174;163;285;1260;147;85;75;115;72;144;174;163;285;1260
;Superior Completo;736;544;573;960;1194;3136;2261;2167;6458;18029;736;544;573;960;1194;3136;2261;2167;6458;18029
;Superior Incompleto;270;186;168;285;204;449;222;345;576;2705;270;186;168;285;204;449;222;345;576;2705
Total;Total;37787;19531;18431;31773;29437;55932;51014;46542;104305;394752;37787;19531;18431;31773;29437;55932;51014;46542;104305;394752
;5ª Completo Fundamental;197;112;97;115;170;253;281;141;369;1735;197;112;97;115;170;253;281;141;369;1735
;6ª a 9ª Fundamental;395;317;210;451;487;730;898;748;1635;5871;395;317;210;451;487;730;898;748;1635;5871
;Analfabeto;34;27;28;53;34;44;65;16;46;347;34;27;28;53;34;44;65;16;46;347
